Date,Volume,Close,Average
2016-06-03,28504888,97.92,97.8575
2016-06-02,40191600,97.72,97.4475
2016-06-01,29173285,98.46,98.8375
2016-05-31,42307212,99.86,99.67
2016-05-27,36341240,100.35,99.87625
2016-05-26,56331159,100.41,99.865
2016-05-25,38642108,99.62,99.035
2016-05-24,35140174,97.9,97.5125
2016-05-23,38018643,96.43,96.29
2016-05-20,32025968,95.22,94.9525
2016-05-19,30442100,94.2,94.2625
2016-05-18,42062391,94.56,94.455
2016-05-17,46916939,93.49,93.9375
2016-05-16,61259756,93.88,93.0775
2016-05-13,44392765,90.52,90.5475
2016-05-12,76314690,90.34,91.3275
2016-05-11,28719109,92.51,93.005
2016-05-10,33686836,93.42,93.1075
2016-05-09,32936436,92.79,93.0375
2016-05-06,43699886,92.72,92.8475
2016-05-05,35890500,93.24,93.4975
2016-05-04,41025475,94.19,94.7775
2016-05-03,56831277,95.18,94.7
2016-05-02,48160104,93.64,93.52125
2016-04-29,68531478,93.74,93.74
2016-04-28,82242690,94.83,96.1425
2016-04-27,114602142,97.82,97.0525
2016-04-26,56016165,104.35,104.3675
2016-04-25,28031588,105.08,105.06
2016-04-22,33683121,105.68,105.4475
2016-04-21,31552525,105.97,106.3375
2016-04-20,30611030,107.13,106.98
2016-04-19,32384879,106.91,107.255
2016-04-18,60821461,107.48,108.065
2016-04-15,46938969,109.85,110.9975
2016-04-14,25473923,112.1,111.86
2016-04-13,33257316,112.04,111.495
2016-04-12,27232325,110.44,109.735
2016-04-11,29407518,109.02,109.3575
2016-04-08,23581740,108.66,108.8775
2016-04-07,31801870,108.54,109.25775
2016-04-06,26404077,110.96,110.3425
2016-04-05,26578652,109.81,109.8675
2016-04-04,37356204,111.12,111
2016-04-01,25873950,109.99,109.2425
2016-03-31,25888449,108.99,109.3725
2016-03-30,45601149,109.56,109.3075
2016-03-29,31190083,107.68,106.31
2016-03-28,19411372,105.19,105.61
2016-03-24,26132955,105.67,105.57
2016-03-23,25703495,106.13,106.395
2016-03-22,32444375,106.72,106.1175
2016-03-21,35502678,105.91,106.157525
2016-03-18,44205171,105.92,105.9875
2016-03-17,34420705,105.8,105.6875
2016-03-16,38303493,105.97,105.37
2016-03-15,40067734,104.58,104.3925
2016-03-14,25076062,102.52,102.28
2016-03-11,27408237,102.26,102.07
2016-03-10,33513577,101.17,101.2425
2016-03-09,27201683,101.12,101.07
2016-03-08,31182194,101.03,100.9925
2016-03-07,35915810,101.87,102.0125
2016-03-04,46055100,103.01,102.625
2016-03-03,36955742,101.5,101.059975
2016-03-02,33169560,100.75,100.4475
2016-03-01,50407147,100.53,99.0925
2016-02-29,35216277,96.69,97.1075
2016-02-26,28991131,96.91,97.178425
2016-02-25,27582659,96.76,96.205
2016-02-24,36255745,96.1,94.945
2016-02-23,31942633,94.69,95.535
2016-02-22,34280758,96.88,96.5025
2016-02-19,35374173,96.04,96.149975
2016-02-18,39020983,96.26,97.52025
2016-02-17,44863243,98.12,97.2875
2016-02-16,49057916,96.64,95.78
2016-02-12,40351381,93.99,93.9225
2016-02-11,50074711,93.7,93.7
2016-02-10,42343601,94.27,95.16
2016-02-09,44331195,94.99,94.7875
2016-02-08,54021375,95.01,94.22
2016-02-05,46418064,94.02,95.2875
2016-02-04,46471652,96.6,96.245
2016-02-03,45964294,96.35,95.5675
2016-02-02,37357215,94.48,95.055
2016-02-01,40943541,96.43,96.2525
2016-01-29,64416504,97.34,95.955
2016-01-28,55678825,94.09,93.6975
2016-01-27,133369674,93.42,94.857225
2016-01-26,75077002,99.99,99.7175
2016-01-25,51794525,99.44,100.425
2016-01-22,65800467,101.42,99.97
2016-01-21,52161463,96.3,96.545
2016-01-20,72334416,96.79,95.874925
2016-01-19,53087747,96.66,97.305
2016-01-15,79833891,97.13,96.6
2016-01-14,63170127,99.52,98.425
2016-01-13,62439631,97.39,99.05
2016-01-12,49154227,99.96,100.009975
2016-01-11,49739377,98.53,98.475
2016-01-08,70798016,96.96,97.845
2016-01-07,81094428,96.45,97.9225
2016-01-06,68457388,100.7,100.875
2016-01-05,55790992,102.71,104.18
2016-01-04,67649387,105.35,103.832
2015-12-31,40912316,105.26,106.03
2015-12-30,25213777,107.32,107.945
2015-12-29,30931243,108.74,107.9975
2015-12-28,26704210,106.82,107.070175
2015-12-24,13596680,108.03,108.495
2015-12-23,32657354,108.61,107.9825
2015-12-22,32789367,107.23,107.20025
2015-12-21,47590610,107.33,106.8875
2015-12-18,96453327,106.03,107.5675
2015-12-17,44772827,108.98,110.5575
2015-12-16,56238467,111.34,110.8
2015-12-15,53323105,110.49,111.395
2015-12-14,65003609,112.48,111.7825
2015-12-11,46886161,113.18,114.15275
2015-12-10,29212727,116.17,116.165
2015-12-09,46361357,115.62,116.5075
2015-12-08,34309450,118.23,117.8025
2015-12-07,32084249,118.28,118.7325
2015-12-04,57776977,119.03,117.17
2015-12-03,41569509,115.2,115.69
2015-12-02,33386563,116.28,116.88
2015-12-01,34852374,117.34,117.94
2015-11-30,39180322,118.3,118.3625
2015-11-27,13046445,117.81,118.0275
2015-11-25,21388308,118.03,118.5975
2015-11-24,42803172,118.88,118.17
2015-11-23,32482528,117.75,118.5225
2015-11-20,34287096,119.3,119.3175
2015-11-19,43295820,118.78,118.2325
2015-11-18,46674697,117.29,116.51
2015-11-17,27583101,113.69,114.245
2015-11-16,38106701,114.175,112.69875
2015-11-13,45812403,112.34,113.845
2015-11-12,32525579,115.72,116.1125
2015-11-11,45217971,116.11,116.2775
2015-11-10,59127931,116.77,116.95025
2015-11-09,33871405,120.57,120.8475
2015-11-06,33042283,121.06,121.15
2015-11-05,39552680,120.92,121.41
2015-11-04,44886050,122,122.6425
2015-11-03,45518976,122.57,121.8875
2015-11-02,32203267,121.18,120.505
2015-10-30,49365254,119.5,120.29
2015-10-29,51227334,120.53,119.5475
2015-10-28,85551352,119.27,117.89
2015-10-27,69884400,114.55,115.12
2015-10-26,66333781,115.28,116.6025
2015-10-23,59366914,119.08,117.8345
2015-10-22,41654089,115.5,114.8575
2015-10-21,42326974,113.76,114.26
2015-10-20,48967763,113.77,112.525
2015-10-19,29759153,111.73,111.0975
2015-10-16,39232609,111.04,111.3375
2015-10-15,37673452,111.86,111.345
2015-10-14,44462449,110.21,110.645
2015-10-13,33049256,111.79,111.435
2015-10-12,30467204,111.6,112.13
2015-10-09,52766140,112.12,110.9725
2015-10-08,61979577,109.5,109.5225
2015-10-07,46765550,110.78,110.925
2015-10-06,48856977,111.31,110.86125
2015-10-05,52064743,110.78,110.27495
2015-10-02,58019758,110.38,109.2384
2015-10-01,63929100,109.58,108.895
2015-09-30,65041596,110.3,110.185
2015-09-29,73365384,109.06,110.815
2015-09-28,50782189,112.44,113.325
2015-09-25,56151926,114.71,115.465
2015-09-24,50219475,115,114.03
2015-09-23,35756716,114.32,113.9925
2015-09-22,50346159,113.4,113.370025
2015-09-21,50221965,115.21,114.4775
2015-09-18,74285291,113.45,112.9575
2015-09-17,64112641,113.92,114.94625
2015-09-16,37173489,116.41,116.16
2015-09-15,43341155,116.28,115.79
2015-09-14,58363431,115.31,115.91
2015-09-11,49915473,114.21,112.9925
2015-09-10,62892831,112.57,111.505625
2015-09-09,85010804,110.15,111.925
2015-09-08,54843626,112.31,111.71
2015-09-04,49996311,109.27,109.3
2015-09-03,53233940,110.37,111.42
2015-09-02,61888812,112.34,110.95275
2015-09-01,76845860,107.72,109.285
2015-08-31,56229271,112.76,112.855
2015-08-28,53164407,113.29,112.5775
2015-08-27,84616056,112.92,112.1075
2015-08-26,96774611,109.69,107.92875
2015-08-25,103601599,103.74,107.365
2015-08-24,162206292,103.12,99.6975
2015-08-21,128275471,105.76,108.43375
2015-08-20,68501622,112.65,113.1775
2015-08-19,48286510,115.01,115.5775
2015-08-18,34560708,116.5,116.595
2015-08-17,40884745,117.16,116.5875
2015-08-14,42929516,115.96,115.15
2015-08-13,48535789,115.15,115.5325
2015-08-12,101685610,115.24,113.205
2015-08-11,97082814,113.49,115.7025
2015-08-10,54951597,119.72,118.1925
2015-08-07,38670405,115.52,115.2125
2015-08-06,52903040,115.13,115.42875
2015-08-05,98384461,115.4,114.4725
2015-08-04,124138623,114.64,115.7525
2015-08-03,69975968,118.44,120.0075
2015-07-31,42884953,121.3,121.863125
2015-07-30,33628268,122.37,122.242475
2015-07-29,37011653,122.99,122.9775
2015-07-28,33618097,123.38,123.305
2015-07-27,44455540,122.77,122.8975
2015-07-24,42162332,124.5,124.865
2015-07-23,50999452,125.16,125.8775
2015-07-22,115450607,125.22,123.675
2015-07-21,76756427,130.75,131.71
2015-07-20,58900203,132.07,131.6775
2015-07-17,46164710,129.62,129.1575
2015-07-16,36222447,128.51,128.0425
2015-07-15,33649200,126.82,126.3175
2015-07-14,31768139,125.61,125.765
2015-07-13,41440538,125.66,125.19125
2015-07-10,61354474,123.28,122.57
2015-07-09,78595038,120.07,121.8
2015-07-08,60761614,122.57,123.5575
2015-07-07,46946811,125.69,125.375
2015-07-06,28060431,126,125.505
2015-07-02,27210952,126.44,126.3325
2015-07-01,30238811,126.6,126.6075
2015-06-30,44370682,125.425,125.49375
2015-06-29,49161427,124.53,125.235
2015-06-26,44066841,126.75,127.23
2015-06-25,31938100,127.5,128.265
2015-06-24,55280855,128.11,128.06
2015-06-23,30268863,127.03,127.2498
2015-06-22,34039345,127.61,127.56
2015-06-19,54716887,126.6,127.1325
2015-06-18,35407220,127.88,127.66
2015-06-17,32918071,127.3,127.41
2015-06-16,31494131,127.6,127.2125
2015-06-15,43988946,126.92,126.4925
2015-06-12,36886246,127.17,127.69875
2015-06-11,35390887,128.59,129.10625
2015-06-10,39087250,128.88,128.4975
2015-06-09,56075420,127.42,126.955
2015-06-08,52674786,127.8,128.185
2015-06-05,35626800,128.65,129.05
2015-06-04,38450118,129.36,129.6075
2015-06-03,30983542,130.12,130.405
2015-06-02,33667627,129.96,129.94875
2015-06-01,32112797,130.535,130.79375
2015-05-29,50884452,130.28,130.715
2015-05-28,30733309,131.78,131.6725
2015-05-27,45833246,132.045,131.17375
2015-05-26,70697560,129.62,131.0625
2015-05-22,45595972,132.54,132.1275
2015-05-21,39730364,131.39,130.73
2015-05-20,36454932,130.06,130.095
2015-05-19,44633240,130.07,130.32
2015-05-18,50882918,130.19,129.4125
2015-05-15,38208034,128.77,128.885
2015-05-14,45203456,128.95,128.1175
2015-05-13,34694235,126.01,126.305
2015-05-12,48160032,125.865,125.79125
2015-05-11,42035757,126.32,126.72375
2015-05-08,55550382,127.62,127.0075
2015-05-07,43940895,125.26,125.0325
2015-05-06,72141010,125.01,125.42
2015-05-05,49271416,125.8,127.04495
2015-05-04,50988278,128.7,129.2575
2015-05-01,58512638,128.95,127.62
2015-04-30,83195423,125.15,126.2775
2015-04-29,63386083,128.64,129.6725
2015-04-28,118923970,130.56,132.28125
2015-04-27,96954207,132.65,132.31
2015-04-24,44525905,130.28,130.1575
2015-04-23,45770902,129.67,129.1325
2015-04-22,37654505,128.62,127.7
2015-04-21,32435057,126.91,127.47
2015-04-20,47054310,127.6,126.615
2015-04-17,51957046,124.75,125.225
2015-04-16,28368987,126.17,126.415
2015-04-15,28970419,126.78,126.5825
2015-04-14,25524593,126.3,126.625
2015-04-13,36365123,126.85,127.6
2015-04-10,40187953,127.1,126.38
2015-04-09,32483974,126.56,125.9125
2015-04-08,37329243,125.6,125.705
2015-04-07,35012268,126.01,126.93795
2015-04-06,37193975,127.35,125.915
2015-04-02,32220131,125.32,125.025
